position,gap_mm,ferrite_mm,field_term_db,coupling_loss_db,L_uH,Q_loaded,f0_MHz,uncertainty_db
beside,20,0.0,-0.3910947822344457,-26.85765551026611,1.6648644812221427,18.47812815414514,13.59548852789488,1.0201390235388021
beside,20,0.3,-0.3339436512042191,-26.684599484569304,1.8060764526486883,19.6915004197991,13.053176083551705,0.9885849560900305
beside,20,0.5,-0.32025218720301313,-26.64272303618524,1.8401019746809615,19.977753250197182,12.931929134541642,0.9809947995093244
beside,30,0.0,-0.1906158744287216,-26.668701269823973,1.6692883204638682,18.748110774524193,13.577461637210838,0.9085320687089026
beside,30,0.3,-0.16303539591501412,-26.52213822149293,1.8095926750058606,19.949850872502147,13.04048809360928,0.8929754074620981
beside,30,0.5,-0.156414110477127,-26.486592588612005,1.8433705901313762,20.23186282597403,12.920458772038662,0.8892333385536144
beside,50,0.0,-0.04594864238009194,-26.532497626722336,1.6725446238014408,18.951797622754512,13.564238111389582,0.8263803268279811
beside,50,0.3,-0.039347559543139725,-26.40465757361615,1.8121808989379855,20.144314148516074,13.031172311900482,0.8225990498936623
beside,50,0.5,-0.037760453762020654,-26.3736036426289,1.8457765553617655,20.423012535656603,12.912035132873958,0.8216894846196104
beside,80,0.0,-0.005493447005669006,-26.494431560097258,1.6734649725341209,19.010150354921382,13.560507663948826,0.8031612825039557
beside,80,0.3,-0.004705819443035208,-26.371768601913868,1.812912424342372,20.19995365969698,13.028542952841107,0.8027081537503576
beside,80,0.5,-0.00451637064047596,-26.341959272635805,1.8464565678855105,20.4776847932839,12.909657293528902,0.802599156132329
