door_thickness_mm,lock_distance_mm,steel_area_scale,ferrite_thickness_mm,ferrite_mu_prime,phone_offset_mm,phone_angle_deg,antenna_L_tolerance_fraction,Q_multiplier,matching_C_tolerance_fraction,metal_prior_scale,coupling_margin_db,nfc_margin_proxy_db,installed_L_uH,installed_Q_loaded,installed_f0_MHz
38.044722992376514,16.139562400943532,1.0597801664973905,0.5290498358309977,62.62049342098331,23.555688180241027,15.803667290614607,0.03110342639150437,1.1540055927837918,-0.008694780385690874,1.1662328483346098,-30.956257082583658,-38.14398314135797,1.88140918524783,20.327678381836613,12.845142759028809
37.11212433369468,29.41563699223519,1.0921231794338415,0.4898720201654613,133.66753468421865,18.167550317799762,0.9456219850770076,0.10491982438251778,1.0940248351592075,-0.01359913006623128,1.2303099249227876,-29.43711839857575,-40.909957864501735,2.042460959636073,22.07644562031485,12.358923853512902
41.75996948434442,26.78278751050104,1.1111432190818173,0.6559168808436848,104.67921548375512,11.851081174512617,0.5962137501619171,-0.04432288957689708,0.8678800083964701,0.03227616821197856,1.2877993150046145,-29.24819767882406,-34.946619495311836,1.7723512858719705,18.656494833955527,12.969146882199194
37.99608351801565,17.43067010895905,0.9776630829384421,0.5328680411341215,97.90596039065198,6.421346869355991,8.66952016598772,-0.07808714154131663,0.7725650039085865,0.010882891486920369,1.0494574894172934,-27.015536303880587,-28.25662905675033,1.7000868373131561,17.242379301802995,13.381299342530609
38.91792635263654,23.071698658578317,0.9427412430150848,0.6659663160973777,100.09345387690634,12.041577256047875,8.227803613061427,-0.004373134705853638,0.8300754699448567,-0.05050567728987658,1.0850533627738868,-28.613734667094796,-31.159847274533018,1.8483546324200417,18.98548674392271,13.241751255423246
44.518609414664475,11.380651193799224,1.3884301215947998,0.4684303665264785,73.72846409214071,15.861231321084196,12.955927857200098,0.012599660464271373,1.080525923951053,0.0029586018937255397,1.0852298361033996,-32.386413915545724,-38.891903088289,1.8436348284839341,19.406668599666567,12.900463255510589
39.58606396063142,21.03830891021678,1.238924427756968,0.45832546756465065,135.47239171091132,4.937547912627713,16.31778550694532,0.09760625700193443,0.6,0.02184440297434058,1.334188654947344,-28.36407147457532,-39.97445233281199,2.019221205039177,17.86692928833951,12.212369258166024
48.25971121296222,16.94159656631527,1.1160182188355863,0.45958816039912304,83.01619296199546,9.488562415510689,9.78976857678461,-0.026152893769789562,0.9656251548715239,0.0159023242565988,1.249977263980643,-32.39021626438258,-37.04733402814854,1.7750645667570981,18.617979223363264,13.063249069327089
36.5285039524732,3.9086311751504867,0.8039145555837459,0.5245621671207933,58.556605225529715,4.164094115359255,5.445541933500468,0.035104783816928296,0.8570061066560485,-0.006961677049037413,1.4007286415268656,-28.539126554935613,-34.3454348240581,1.850986725119255,16.742332702468207,12.938967000275536
41.965178291449476,43.881184574932746,0.7398116599113262,0.6216218335806675,90.12831709350654,8.230365605352532,10.450627932429752,-0.0033306538669526107,0.7368498028099459,-0.0008229717266690022,1.0041957772137153,-29.080292099038267,-35.433013663722434,1.8481332607173655,18.891408381095715,12.909112923295519
35.74074757431242,16.40697550923725,0.9472418828937998,0.6303829382749329,92.79124032488112,6.180238618206152,16.60184281971334,0.02231606011310191,1.076686651764987,-0.001386836633139138,1.357911289868077,-26.652461292416238,-34.31088146691499,1.883419362907612,19.954769183331667,12.791223960715238
39.537524505901715,25.792484225178,1.0023956777100853,0.4082737479972812,97.048256067604,13.796217446939101,22.3199062166008,-0.044771677165091374,0.8421311089847331,0.04217091690714857,1.2507731040388872,-28.36411443336907,-33.56957961792498,1.7442405013292057,18.219148594411244,13.01102776755731
38.944357660699566,15.902619592081876,1.2462755553892233,0.4002978621673435,175.0348436408376,12.238729657072753,13.411758834659505,-0.05612596406834406,0.9265761250370729,0.006350031533505931,1.4646444810235295,-28.703912037217666,-30.62292489335098,1.728101362640825,17.86384933120707,13.302250537194931
48.355352988440785,29.675635043645105,0.6923611989354885,0.4818291853741538,113.21675177908135,7.966998967170815,17.004232500198135,-0.051019936407108606,1.109648412198825,-0.015658032586478094,1.030460081631695,-31.441081916279924,-32.56180471277212,1.7517896916514804,19.719451885139154,13.358887044987751
44.361459671601956,39.033587671985984,1.3007124187008872,0.6031407619245616,89.74153076428324,2.726579348599285,24.84124602807688,0.12,0.8754325764615136,0.018958027551063704,1.221326209294251,-30.38105702007985,-43.50688631455219,2.073136489935017,21.38110983978264,12.069580238641771
34.4401136013762,24.408690023755643,0.8116791673141689,0.7798269517592549,103.3965954472136,24.21102473117078,4.405205676143543,0.019318459778374143,1.0361076274837386,0.02345941183261922,0.9547501854199942,-29.830699236848062,-39.4560665720591,1.9009739144808335,20.620004911499116,12.576531153692601
